Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
BennT Creek Regional Water Authority,benntcreekrwa.colorado.gov/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67393,Water Authorities,"Adams, Arapahoe"
Bennett 29J School District,www.bennett29j.k12.co.us,615 7th Street,,Bennett,CO,80102,64902,School Districts,"Adams, Arapahoe"
Bennett Bear Creek Farm Water & Sanitation District,www.bennettbearcreekfarmsdistrict.com,9850 B W Girton Drive,,Lakewood,CO,80227,30008,Water & Sanitation Districts,Jefferson
Bennett Crossing Metropolitan District No. 1,bennettcrossingmd1.com,1555 California Street No. 505,c/o Miller Law pllc,Denver,CO,80202,66713,Metropolitan Districts,Adams
Bennett Crossing Metropolitan District No. 2,bennettcrossingmd2.com,1555 California Street No. 505,c/o Miller Law pllc,Denver,CO,80202,66714,Metropolitan Districts,Adams
Bennett Crossing Metropolitan District No. 3,bennettcrossingmd3.com,1555 California Street No. 505,c/o Miller Law pllc,Denver,CO,80202,66715,Metropolitan Districts,Adams
Bennett Farms Metropolitan District No. 1,,"1151 Eagle Drive, Ste. 366","c/o Law Office of Michael Davis, LLC",Loveland,CO,80537,67791,Metropolitan Districts,Adams
Bennett Farms Metropolitan District No. 2,,"1151 Eagle Drive, Ste. 366","c/o Law Office of Michael Davis, LLC",Loveland,CO,80537,67792,Metropolitan Districts,Adams
Bennett Farms Metropolitan District No. 3,,"1151 Eagle Drive, Ste. 366","c/o Law Office of Michael Davis, LLC",Loveland,CO,80537,67793,Metropolitan Districts,Adams
Bennett Farms Metropolitan District No. 4,,"1151 Eagle Drive, Ste. 366","c/o Law Office of Michael Davis, LLC",Loveland,CO,80537,67794,Metropolitan Districts,Adams
Bennett Farms Metropolitan District No. 5,,"1151 Eagle Drive, Ste. 366","c/o Law Office of Michael Davis, LLC",Loveland,CO,80537,67795,Metropolitan Districts,Adams
Bennett Farms Metropolitan District No. 6,,"1151 Eagle Drive, Ste. 366","c/o Law Office of Michael Davis, LLC",Loveland,CO,80537,67796,Metropolitan Districts,Adams
Bennett Fire Protection District,bennettfirerescue.org,Box 349,,Bennett,CO,80102,64018,Fire Protection Districts,"Adams, Arapahoe"
Bennett North Metropolitan District No. 1,www.bennettnorthmetro.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67707,Metropolitan Districts,Adams
Bennett North Metropolitan District No. 2,bennettnorthmetropolitandistricts.specialdistrict.net,2370 Antelope Ridge Trail,"c/o Special District Solutions, Inc.",Parker,CO,80138,67708,Metropolitan Districts,Adams
Bennett North Metropolitan District No. 3,bennettnorthmetropolitandistricts.specialdistrict.net,2370 Antelope Ridge Trail,"c/o Special District Solutions, Inc.",Parker,CO,80138,67709,Metropolitan Districts,Adams
Bennett North Metropolitan District No. 4,bennettnorthmetropolitandistricts.specialdistrict.net,2370 Antelope Ridge Trail,"c/o Special District Solutions, Inc.",Parker,CO,80138,67710,Metropolitan Districts,Adams
Bennett Park and Recreation District,www.bennettrec.org,P.O. Box 379,,Bennett,CO,80102,01102,Park & Recreation Districts,Adams
Bennett Ranch Metropolitan District No. 1,www.bennettranchmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67287,Metropolitan Districts,Adams
Bennett Ranch Metropolitan District No. 2,www.bennettranchmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67288,Metropolitan Districts,Adams
Bennett Ranch Metropolitan District No. 3,www.bennettranchmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67289,Metropolitan Districts,Adams
Bennett Ranch Metropolitan District No. 4,www.bennettranchmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67290,Metropolitan Districts,Adams
"Bennett, Town of",townofbennett.colorado.gov,207 Muegge Way,,Bennett,CO,80102-7806,64258,Statutory Towns,"Adams, Arapahoe"
Bent Conservation District,www.bentcd.com/,760 Bent Avenue,,Las Animas,CO,81054,06003,Conservation Districts (Soil),"Bent, Las Animas, Prowers, Otero, Kiowa"
Bent County,www.bentcounty.net,725 Bent Ave,PO Box 350,Las Animas,CO,81054,06001,Counties,Bent
Bent County Housing Authority,,427 6th St,,Las Animas,CO,81054,06014,County Housing Authorities,Bent
Bent County-Las Animas Cemetery District,,28082 County Road 10.75,PO Box 526,Las Animas,CO,81054,06002,Cemetery Districts,Bent
Bent Grass Metropolitan District,bentgrassmd.colorado.gov,"660 Southpointe, Ste 210","c/o Susemihl, McDermott & Cowan, PC",Colorado Springs,CO,80903,65928,Metropolitan Districts,El Paso
Bent's Fort Water Authority,,"165 South Union Boulevard, Suite 785","c/o Collins Cole Winn Ulmer, PLLC",Lakewood,CO,80228,68117,Water Authorities,"Otero, Crowley"
Bent-Prowers Cemetery District,,26 Lynn Street,,Lamar,CO,81052-3897,64019,Cemetery Districts,"Bent, Prowers"
Berkeley Villas Metropolitan District,www.berkeleyvillasmd.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,68135,Metropolitan Districts,Adams
Berkeley Water & Sanitation District,www.berkeleywatersanitation.com,"4455 W 58th Avenue, Unit A",,Arvada,CO,80002,64020,Water & Sanitation Districts,"Adams, Jefferson"
Berkley Shores Metropolitan District,berkleyshoresmd.colorado.gov,"450 East 17th Avenue, Suite 400","c/o McGeady Becher, P.C.",Denver,CO,80203-1254,67257,Metropolitan Districts,Adams
Berry Creek Metropolitan District,singletreetoday.com/metro-district/,1010 Berry Creek Rd,,Edwards,CO,81632,19006,Metropolitan Districts,Eagle
Berthoud 160 Metropolitan District,ccgcolorado.com/b160/,"44 Cook Street, Suite 620",,Denver,CO,80206,67238,Metropolitan Districts,Larimer
Berthoud Community Library District,berthoud.colibraries.org/,"7400 East Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,66063,Library Districts,Larimer
Berthoud Fire Protection District,www.berthoudfire.org,PO Box 570,,Berthoud,CO,80513,64021,Fire Protection Districts,"Boulder, Weld, Larimer"
"Berthoud, Town of",berthoud.org/,PO Box 1229,,Berthoud,CO,80513,64237,Statutory Towns,"Weld, Larimer"
Berthoud-Heritage Metropolitan District No. 1,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66006,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 10,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67066,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 11,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67067,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 12,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67068,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 13,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67069,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 14,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67070,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 15,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67071,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 16,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67072,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 17,www.berthoudheritagemd.live,550 West Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,67073,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 2,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66007,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 3,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66008,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 4,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66009,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 5,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66010,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 6,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66011,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 7,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66012,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 8,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80537,66013,Metropolitan Districts,Larimer
Berthoud-Heritage Metropolitan District No. 9,www.berthoudheritagemd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc.",Loveland,CO,80237,66014,Metropolitan Districts,Larimer
Bethune R-5 School District,www.bethuneschool.com,PO Box 127,,Bethune,CO,80805-0127,32903,School Districts,Kit Carson
"Bethune, Town of",,PO Box 146,,Bethune,CO,80805,32001,Statutory Towns,Kit Carson
Beulah Fire Protection and Ambulance District,www.beulahfireambulance.org,PO Box 826,"c/o Mullans,m Piersel, Reed",Beulah,CO,81023,65866,Fire Protection Districts,Pueblo
Beulah Water Works District,www.beulahvalleywater.com/,PO Box 506,"c/o Mullans, Piersel, Reed",Beulah,CO,81023,51002,Water Districts,Pueblo
Big Sandy 100J School District,www.bigsandy100j.com,PO Box 68,,Simla,CO,80835,64920,School Districts,"El Paso, Elbert"
Big Sandy Fire Protection District,www.simlafire.org,PO Box 161,,Simla,CO,80835,65415,Fire Protection Districts,"El Paso, Elbert"
Big Sky Metropolitan District No. 1,bigskymetrodistrict.com/,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66563,Metropolitan Districts,Jefferson
Big Sky Metropolitan District No. 2,bigskymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66564,Metropolitan Districts,Jefferson
Big Sky Metropolitan District No. 3,bigskymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66565,Metropolitan Districts,Jefferson
Big Sky Metropolitan District No. 4,bigskymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66566,Metropolitan Districts,Jefferson
Big Sky Metropolitan District No. 5,bigskymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66567,Metropolitan Districts,Jefferson
Big Sky Metropolitan District No. 6,bigskymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66568,Metropolitan Districts,Jefferson
Big Sky Metropolitan District No. 7,bigskymetrodistrict.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66569,Metropolitan Districts,Jefferson
Bighorn Terrace Sanitation Subdistrict of the Eagle River Water and Sanitation District,,846 Forest Road,c/o Eagle River Water and Sanitation District,Vail,CO,81657,66877,Subdistrict of Special District,Eagle
Bijou Creek Metropolitan District,www.bijoucreekmetrodistrict.org,"2154 East Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67017,Metropolitan Districts,Arapahoe
Bijou Irrigation District,,PO Box 972,,Fort Morgan,CO,80701,64022,Irrigation Districts (Irrigation Drainage),"Weld, Morgan"
Bijou Metropolitan District,www.cottonwoodmetro.org/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67559,Metropolitan Districts,Morgan
Black Forest Fire/Rescue Protection District,bffire.org,11445 Teachout Road,,Colorado Springs,CO,80908,21002,Fire Protection Districts,El Paso
Black Hawk Urban Renewal Authority,,PO Box 68,c/o City of Black Hawk,Black Hawk,CO,80422-0068,65826,Urban Renewal Authorities,Gilpin
"Black Hawk, City of",site.cityofblackhawk.org,PO Box 68,201 Selak,Black Hawk,CO,80422-0058,24001,Home Rule Municipalities,Gilpin
Black Hawk-Central City Sanitation District,,PO Box 362,,Black Hawk,CO,80422,24002,Sanitation Districts,Gilpin
Blackstone Metropolitan District,highplainsmetro.org,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65140,Metropolitan Districts,Arapahoe
"Blanca, Town of",townofblanca.colorado.gov,PO Box 190,,Blanca,CO,81123,12001,Statutory Towns,Costilla
Blanca/Fort Garland Metropolitan District,bfgcc.org,PO Box 310,,Blanca,CO,81123,12002,Metropolitan Districts,Costilla
Blende Sanitation District,,PO Box 1940,,Pueblo,CO,81003,51003,Sanitation Districts,Pueblo
Blue Eagle Metropolitan District No. 1,blueeaglemetrodistricts.com/,"2154 East Commons Avenue, Suite 2000","c/o WBA, PC",Centennial,CO,80122-1880,67507,Metropolitan Districts,Adams
Blue Eagle Metropolitan District No. 2,blueeaglemetrodistricts.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67508,Metropolitan Districts,Adams
Blue Eagle Metropolitan District No. 3,blueeaglemetrodistricts.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67509,Metropolitan Districts,Adams
Blue Eagle Metropolitan District No. 4,blueeaglemetrodistricts.com/,"2154 East Commons Avenue, Suite 2000","c/o WBA, PC",Centennial,CO,80122-1880,67510,Metropolitan Districts,Adams
Blue Eagle Metropolitan District No. 5,blueeaglemetrodistricts.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67511,Metropolitan Districts,Adams
Blue Lake Metropolitan District No. 1,www.crsofcolorado.com/blue-lakes-md1/,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,65235,Metropolitan Districts,Weld
Blue Lake Metropolitan District No. 2,www.crsofcolorado.com/blue-lakes-md2/,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,65236,Metropolitan Districts,Weld
Blue Lake Metropolitan District No. 3,www.crsofcolorado.com/blue-lakes-md3/,"7995 E. Prentice Ave., Suite 100","c/o Community Resource Services of Colorado, LLC",Greenwood Village,CO,80111,65237,Metropolitan Districts,Weld
Blue Lake Metropolitan District No. 4,www.bluelakemd4.com/,McGeady Becher P.C.,"450 East 17th Avenue, Suite 400",Denver,CO,80203,67145,Metropolitan Districts,Weld
Blue Lake Metropolitan District No. 5,,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,67146,Metropolitan Districts,Weld
Blue Lake Metropolitan District No. 6,,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,67147,Metropolitan Districts,Weld
Blue Mountain Water District,,P.O. Box 16789,,Golden,CO,80402,30010,Water Districts,Jefferson
"Blue River, Town of",townofblueriver.colorado.gov,PO Box 1784,,Breckenridge,CO,80424,59002,Statutory Towns,Summit
Blue Valley Metropolitan District,www.bvmd.biz/,PO Box 492,,Kremmling,CO,80459,25001,Metropolitan Districts,Grand
Bluebird Business Improvement District,,3121 East Colfax Avenue,,Denver,CO,80206,66445,Business Improvement Districts,Denver
Bluestone Water Conservancy District,,PO Box 284,,Parachute,CO,81635,64023,Water Conservancy Districts,"Mesa, Garfield"
Bluffs & Greens Infrastructure Authority,cospecialdistricts.com/bluffs-green-ia,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,68193,Intergovernmental Authorities (separate legal entity),Weld
Bobcat Meadows Metropolitan District,,,c/o H2O Consultants,,,,21102,Metropolitan Districts,El Paso
"Bonanza City, Town of",,P.O. Box 104  (Bonanza Rt.),,Villa Grove,CO,81155,55002,Statutory Towns,Saguache
Bone Mesa Domestic Water District,bonemesawater.com,PO Box 1462,,Paonia,CO,81428,15001,Water Districts,Delta
Bonvue Water & Sanitation District,www.bonvuewater-sanitation.com/,PO Box 150789,,Lakewood,CO,80215-0789,30011,Water & Sanitation Districts,Jefferson
Bookcliff Conservation District,,258 Center Dr.,,Glenwood Springs,CO,81601,23002,Conservation Districts (Soil),"Mesa, Garfield"
Boone Housing Authority,,PO Box 13,,Boone,CO,81025,51004,Housing Authorities (Municipal),Pueblo
"Boone, Town of",,PO Box 13,,Boone,CO,81025,51005,Statutory Towns,Pueblo
Bostwick Park Water Conservancy District,,400 South Third Street,,Montrose,CO,81401-4204,64024,Water Conservancy Districts,"Montrose, Gunnison"
Bottoms Special Improvement District,,4101 South Federal Boulevard,c/o City of Sheridan,Sheridan,CO,80110-5399,65657,"Special Improvement Districts (Municipal, Incl. Storm Sewer)",Arapahoe
Boulder County,www.bouldercounty.gov,PO Box 471,,Boulder,CO,80306,07003,Counties,Boulder
Boulder County Clean Energy Options Local Improvement District,,PO Box 471,c/o Boulder County Board of County Commissioners,Boulder,CO,80306,66147,Local Improvement Districts (County),Boulder
Boulder County Gunbarrel General Improvement District,www.co.boulder.co.us,PO Box 471,c/o Boulder County Finance Division,Boulder,CO,80306,07061,Public Improvement Districts (County),Boulder
Boulder County Hazardous Materials Response Authority,,225 Kimbark Street,,Longmont,CO,80501-5912,67102,Intergovernmental Authorities (separate legal entity),"Broomfield, Boulder, Weld, Larimer, Jefferson"
Boulder County Housing Authority,,2525 13th St Ste 204,,Boulder,CO,80304,07028,County Housing Authorities,Boulder
Boulder Housing Authority,,4800 Broadway St,,Boulder,CO,80304,07005,Housing Authorities (Municipal),Boulder
Boulder Mountain Fire Protection District,www.bmfpd.org,1905 Linden Drive,Station 1,Boulder,CO,80304-0426,65369,Fire Protection Districts,Boulder
Boulder Mountain Fire Protection Sub-District,,1905 Linden Drive,Station 1,Boulder,CO,80304-0426,67801,Subdistrict of Special District,Boulder
Boulder Public Library District,boulderlibrary.org,1325 Pearl Street,,Boulder,CO,80302,67674,Library Districts,Boulder
Boulder Regional Emergency Telephone Service Authority,,1805 33rd Street,,Boulder,CO,80301,07058,Emergency Telephone Service (911 Authorities),"Boulder, Larimer"
Boulder Rural Fire Protection District,www.brfr.org,6230 Lookout Road,,Boulder,CO,80301-3356,07057,Fire Protection Districts,Boulder
Boulder Urban Renewal Authority,,PO Box 791,,Boulder,CO,80306,07043,Urban Renewal Authorities,Boulder
Boulder Valley Conservation District,bouldervalley-longmontcd.colorado.gov/,9595 Nelson Road,Box D,Longmont,CO,80501,64025,Conservation Districts (Soil),"Broomfield, Boulder, Weld, Adams"
Boulder Valley RE 2 School District,go.boarddocs.com/co/bvsd/Board.nsf/Public,PO Box 9011,,Boulder,CO,80301,64911,School Districts,"Broomfield, Boulder, Gilpin"
"Boulder, City of",www.bouldercolorado.gov,2967 Bluff St,,Boulder,CO,80301,07006,Home Rule Municipalities,Boulder
Boulevard at Lowry Metropolitan District,boulevardatlowrymd.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67358,Metropolitan Districts,Denver
Bow Mar Water & Sanitation District,bowmarwater.org/page.cfm/ID/1/Home,8739 W Cole Mine Avenue,,Littleton,CO,80123,64027,Water & Sanitation Districts,"Arapahoe, Jefferson"
"Bow Mar, Town of",townofbowmar.colorado.gov,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,64026,Statutory Towns,"Arapahoe, Jefferson"
Bowles Metropolitan District,bowlesmetrodistrict.org/,"2001 16th Street, Ste. 1700 ",c/o CliftonLarsonAllen LLP,Denver,CO,80202,64193,Metropolitan Districts,"Denver, Jefferson"
Box Elder Water & Sanitation District,boxelderwaterandsanitation.specialdistrict.org/,"450 E. 17th Avenue, Suite 400",McGeady Becher Cortese Williams P.C.,Denver,CO,80203,01004,Water & Sanitation Districts,Adams
Boxelder Basin Regional Stormwater Authority,bbrsa.specialdistrict.org,PO Box 1091,,Wellington,CO,80549,66143,Water Authorities,Larimer
Boxelder Sanitation District,www.boxeldersanitation.org,PO Box 1518,,Fort Collins,CO,80522,35002,Sanitation Districts,"Weld, Larimer"
Boyd Ponds Metropolitan District No. 2,www.boydpondsmd2.org/,"7400 East Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,66219,Metropolitan Districts,Jefferson
Bradburn Metropolitan District No. 2,www.bradburnmd2.com,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,01099,Metropolitan Districts,Adams
Bradburn Metropolitan District No. 3,bradburnmd3.com/,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron P.C.,Centennial,CO,80122,01100,Metropolitan Districts,Adams
Bradley Heights Metropolitan District No. 1,bradleyheightsmd.colorado.gov/,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65561,Metropolitan Districts,El Paso
Bradley Heights Metropolitan District No. 2,bradleyheightsmd.colorado.gov/,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65562,Metropolitan Districts,El Paso
Bradley Heights Metropolitan District No. 3,bradleyheightsmd.colorado.gov/,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65563,Metropolitan Districts,El Paso
Bradley Ranch Metropolitan District,www.bradleyranchmetro.org,12210 Brighton Road #8,"c/o Wolfersberger, LLC",Henderson,CO,80640,65727,Metropolitan Districts,El Paso
Bramming Farm Metropolitan District No. 1,brammingfarmmetrodistrict1.specialdistrict.org/,"450 E 17th Avenue, Ste 400","c/o McGeady Becher Cortese Williams, P.C.",Denver,CO,80203-1214,66241,Metropolitan Districts,Adams
Brands East Metropolitan District No. 1,thebrandseastmd.com,"2154 E. Commons Ave., Suite 2000",White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66574,Metropolitan Districts,Larimer
Brands East Metropolitan District No. 2,thebrandseastmd.com,"2154 E. Commons Ave., Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66575,Metropolitan Districts,Larimer
Brands East Metropolitan District No. 3,thebrandseastmd.com,"2154 E. Commons Ave., Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66576,Metropolitan Districts,Larimer
Brands East Metropolitan District No. 4,thebrandseastmd.com,"2154 E. Commons Ave., Suite 2000",c/o WHITE BEAR ANKELE TANAKA & WALDRON,Centennial,CO,80122,66577,Metropolitan Districts,Larimer
Brands Metropolitan District No. 1,thebrandsmd.com,"2154 E. Commons Ave., Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66557,Metropolitan Districts,Larimer
Brands Metropolitan District No. 2,thebrandsmd.com,2154 E Commons Ave Ste. 2000,c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66558,Metropolitan Districts,Larimer
Brands Metropolitan District No. 3,thebrandsmd.com,"2154 E. Commons Ave., Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66559,Metropolitan Districts,Larimer
Brands Metropolitan District No. 4,thebrandsmd.com,"2154 E. Commons Ave., Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centenntial,CO,80122,66560,Metropolitan Districts,Larimer
Brands West Metropolitan District No. 1,thebrandswestmd.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66994,Metropolitan Districts,Larimer
Brands West Metropolitan District No. 2,thebrandswestmd.com,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66995,Metropolitan Districts,Larimer
Brands West Metropolitan District No. 3,thebrandswestmd.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66996,Metropolitan Districts,Larimer
Brands West Metropolitan District No. 4,thebrandswestmd.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66997,Metropolitan Districts,Larimer
Branson Reorganized 82 School District,www.bransonschoolonline.com,P O Box 128,,Branson,CO,81027,36904,School Districts,Las Animas
"Branson, Town of",www.bransoncolorado.com/town-government,PO Box 92,,Branson,CO,81027,36002,Statutory Towns,Las Animas
Branson-Trinchera Conservation District,,3590 E. Main Street,,Trinidad,CO,81082,36003,Conservation Districts (Soil),Las Animas
Bravada Neher Metropolitan District No. 1,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67011,Metropolitan Districts,Arapahoe
Bravada Neher Metropolitan District No. 2,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67012,Metropolitan Districts,Arapahoe
Bravada Neher Metropolitan District No. 3,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67013,Metropolitan Districts,Arapahoe
Bravada Neher Metropolitan District No. 4,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67014,Metropolitan Districts,Arapahoe
Bravada Neher Metropolitan District No. 5,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67015,Metropolitan Districts,Arapahoe
Breckenridge Mountain Metropolitan District,www.alpine-breckmtnmetros.org,"28 Second Street, Suite 213","c/o Marchetti & Weaver, LLC",Edwards,CO,81632,65155,Metropolitan Districts,Summit
"Breckenridge Mountain Metropolitan District, Subdistrict A",www.alpine-breckmtnmetros.org,"28 Second Street, Unit 213",c/o Marchetti & Weaver,Edwards,CO,81632,67610,Subdistrict of Special District,Summit
"Breckenridge, Town of",www.townofbreckenridge.com/,PO Box 168,,Breckenridge,CO,80424,59004,Home Rule Municipalities,Summit
Brennan Metropolitan District,brennanmetrodistrict.org/,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66685,Metropolitan Districts,Boulder
